pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2012000190,1,1,2,5000,197,,16,,,,,,20,2012,12,12,1,4,5,4,9,3,1,9,3,0,1,1,3,3,6,,1,1,9,9,9,2,2,1,5,51,511,0,12,3,180285,668780
2012000193,1,2,2,3570,303,,26,,,,,,41,2012,12,18,1,4,5,3,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,7,77,777,0,17,1,216443,667793
2012000195,1,1,1,6100,522,517,,450024,,,,,20,2012,12,19,1,4,5,4,9,3,1,9,1,0,1,1,2,3,6,7,1,1,9,9,9,1,3,1,5,51,512,0,14,1,184275,666003
2012000198,1,1,1,5000,2412,3280,,21270744,,,,,20,2012,12,24,1,4,5,2,1,3,1,9,0,3,1,1,3,3,6,2,1,1,9,9,9,3,4,1,5,51,511,0,12,1,178508,661167
2012000202,1,1,1,7900,221,232,,9440042,,,,,51,2012,12,30,1,4,5,1,9,3,1,9,9,0,0,1,0,5,6,7,9,9,9,9,9,3,3,9,4,42,422,0,14,1,189416,666300
2012000209,1,1,2,5000,171,,9999,,,,,,20,2012,12,30,1,4,5,1,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,5,51,511,0,12,3,181728,669438
2012000210,1,1,2,2640,142,,9,,,,,,51,2012,12,16,1,4,5,1,9,3,2,8,0,3,1,1,2,3,6,5,1,1,9,9,9,0,0,9,4,42,422,0,16,1,195040,666918
2012000212,1,1,2,516,0,,9999,,,,,,12,2012,11,30,1,4,5,6,9,3,2,9,9,0,0,1,0,5,6,,9,9,9,9,9,0,0,9,2,24,242,99,27,2,223004,757941
2012000213,1,1,1,5000,2025,4698,,80151147,,,,,20,2012,12,22,1,4,5,7,1,3,2,9,1,0,1,1,2,3,4,2,2,2,9,9,9,0,0,9,5,51,511,0,12,1,177349,660397
2012000216,1,1,1,5000,2378,2354,,13820821,,,,,20,2012,12,16,1,4,5,1,0,3,2,9,3,0,1,1,3,3,6,1,1,1,9,9,9,0,0,9,5,51,511,0,12,1,179490,662358
