Elders,Adults,Teen,x,y
0.277667984,0.457509881,0.264822134,216619.4901,776984.81
0.163179916,0.5,0.336820084,230577.7673,765267.1271
0.21117062,0.461361897,0.327467483,208209.0149,765149.3547
0.202200825,0.477303989,0.320495186,190510.0006,679556.6064
0.321823204,0.424033149,0.254143646,213809.3611,736259.8391
0.203872437,0.448747153,0.34738041,210640.286,636102.1862
0.580524345,0.248439451,0.171036205,188110.0168,684357.8393
0.178082192,0.473059361,0.348858447,187378.5284,685230.46
0.311271975,0.429162358,0.259565667,209350.4194,756529.7253
0.323253389,0.42544317,0.251303441,194658.789,719320.082
0.216541353,0.439097744,0.344360902,243720.4734,737105.123
0.152845528,0.453658537,0.393495935,169847.4483,616877.7848
0.211327134,0.475908707,0.312764159,220697.712,774302.268
0.26929982,0.448833034,0.281867145,252570.3955,707117.2383
0.337301587,0.48015873,0.182539683,250304.2789,710915.2546
0.277001271,0.477763659,0.24523507,209617.5118,755015.4951
0.411449016,0.431127013,0.157423971,244830.0424,711268.4652
0.298572997,0.425905598,0.275521405,207309.4762,721734.0571
0.204477612,0.485074627,0.310447761,191207.4576,642026.0762
0.272049689,0.442236025,0.285714286,259908.7259,792811.2023
0.249658936,0.467939973,0.282401091,261194.1904,793987.5523
0.239779006,0.482872928,0.277348066,248592.5554,705282.5494
0.366863905,0.473372781,0.159763314,252023.6148,725082.7014
0.174807198,0.449871465,0.375321337,241121.4025,733582.2834
0.126518219,0.389676113,0.483805668,247328.3621,739149.9517
0.234016888,0.427020507,0.338962606,253764.0438,766091.0987
0.169714704,0.518653987,0.311631309,172089.475,614615.6546
0.264339152,0.433915212,0.301745636,200717.7656,712440.974
0.246575342,0.476712329,0.276712329,177315.6832,650257.0131
0.254237288,0.454237288,0.291525424,193874.7925,731617.1208
0.215817694,0.45844504,0.325737265,212302.2066,749405.8343
0.222119816,0.426728111,0.351152074,170022.2697,618825.8843
0.161431065,0.489528796,0.34904014,188437.1736,687179.7648
0.246724891,0.486899563,0.266375546,200721.7223,737465.1953
0.22,0.463333333,0.316666667,144115.2795,573271.8135
0.280058651,0.469208211,0.250733138,258320.8701,786981.5068
0.188969992,0.467964315,0.343065693,174062.8415,625302.6218
0.194066749,0.512978986,0.292954265,256823.2959,790521.7135
0.197986577,0.508389262,0.293624161,261006.8605,792805.6051
0.180842912,0.466666667,0.352490421,215075.9351,774152.2225
0.273003472,0.427951389,0.299045139,189902.3423,693375.4245
0.223584906,0.45,0.326415094,190255.0594,711039.5762
0.204545455,0.477272727,0.318181818,149411.1489,522613.8486
0.182210708,0.474093264,0.343696028,258531.0301,787943.0574
0.197556008,0.448065173,0.354378819,251469.451,734810.2551
0.231734317,0.453874539,0.314391144,187234.0249,650936.9576
0.244827586,0.448275862,0.306896552,173601.5289,635913.5116
0.211659193,0.471748879,0.316591928,209388.799,724149.5105
0.265586035,0.440149626,0.294264339,166416.2868,601633.6697
0.102345416,0.57782516,0.319829424,163021.2301,604728.9419
0.203059805,0.424200278,0.372739917,239134.1242,721917.1647
0.239179954,0.422551253,0.338268793,180509.4906,615062.9735
0.1796875,0.47265625,0.34765625,163246.3208,611224.5291
0.30958231,0.432432432,0.257985258,249155.3054,714010.4532
0.237623762,0.441831683,0.320544554,202937.0323,707003.1197
0.223880597,0.507462687,0.268656716,261698.4866,788904.1534
0.23828125,0.451171875,0.310546875,184204.3297,673863.4292
0.294339623,0.513207547,0.19245283,251152.0048,789038.128
0.257142857,0.48,0.262857143,160218.4585,603362.4625
0.131223629,0.440084388,0.428691983,165130.3667,627623.4395
0.31042654,0.433649289,0.255924171,149065.5261,569016.2065
0.458333333,0.361111111,0.180555556,211019.5359,734145.8914
0.290084388,0.484177215,0.225738397,173336.2307,550308.4337
0.323076923,0.453846154,0.223076923,197393.2671,671666.8346
0.254458977,0.495838288,0.249702735,258603.0385,791762.7926
0.26305793,0.448243115,0.288698955,257196.3645,786495.6291
0.296216216,0.477837838,0.225945946,158093.6072,610828.5567
0.35193133,0.394849785,0.253218884,165495.2253,625032.6194
0.190108192,0.472952087,0.336939722,204163.8494,717076.7304
0.314763231,0.401114206,0.284122563,172002.9267,600646.905
0.143079316,0.382581649,0.474339036,181205.1057,633001.926
0.136818687,0.457174638,0.406006674,195070.576,633428.4041
0.206762029,0.433029909,0.360208062,237207.9946,736025.0314
0.246781116,0.484978541,0.268240343,261960.152,785696.5892
0.206097561,0.491463415,0.302439024,207879.3812,726204.834
0.211538462,0.424145299,0.364316239,247094.5446,764837.2932
0.261946903,0.446017699,0.292035398,207410.5737,718087.2463
0.321138211,0.491869919,0.18699187,192589.1523,642643.5638
0.152542373,0.56779661,0.279661017,238422.5701,734253.3341
0.217607973,0.504983389,0.277408638,252009.5191,778455.1
0.234908136,0.446194226,0.318897638,193794.4794,695561.1364
0.194714882,0.443671766,0.361613352,246689.7955,753947.1591
0.16006216,0.452991453,0.386946387,203486.1624,699094.8998
0.25026738,0.465240642,0.284491979,209759.9215,766320.7424
0.190525232,0.457260556,0.352214212,198650.051,698259.3585
0.246246246,0.537537538,0.216216216,251561.2135,794706.4122
0.23582996,0.457489879,0.306680162,195453.7738,689305.7921
0.219106957,0.492211838,0.288681205,260842.0149,782879.8809
0.281767956,0.451657459,0.266574586,188195.8455,701362.2662
0.221719457,0.419306184,0.358974359,247458.7371,708443.826
0.355072464,0.449275362,0.195652174,250967.9684,759320.1634
0.469975981,0.329863891,0.200160128,190636.6484,685416.315
0.222222222,0.446581197,0.331196581,192324.6383,694921.4683
0.186930091,0.469604863,0.343465046,242411.6632,730314.8493
0.182675815,0.477701544,0.339622642,188809.1919,680072.9877
0.299445471,0.442698706,0.257855823,209566.9615,764578.2939
0.119047619,0.452380952,0.428571429,178824.8646,623300.8755
0.268041237,0.41089838,0.321060383,185630.0714,615712.754
0.25483504,0.452787258,0.292377702,175289.0949,591434.1056
0.305343511,0.415606446,0.279050042,173178.949,585873.0718
0.19486692,0.49904943,0.30608365,188659.375,570257.99
0.271171171,0.465765766,0.263063063,172789.7937,572097.833
0.234666667,0.418666667,0.346666667,162320.8026,590425.5298
0.248955723,0.467000835,0.284043442,151665.5291,592697.8044
0.090805254,0.408338093,0.500856653,177807.8743,609259.6689
0.317174515,0.497229917,0.185595568,138773.805,572044.4896
0.375215146,0.464716007,0.160068847,154656.9674,579405.5878
0.240153698,0.429394813,0.330451489,207762.298,635055.7267
0.306962025,0.416666667,0.276371308,173582.8542,631194.2921
0.215568862,0.429141717,0.355289421,233094.7152,728120.8319
0.276923077,0.457342657,0.265734266,256061.9995,785009.3915
0.222748815,0.432464455,0.34478673,220877.9716,766924.7833
0.833333333,0.166666667,0,187164.1469,682367.0609
0.278293135,0.478664193,0.243042672,155640.8655,568205.2271
0.120385233,0.443017657,0.436597111,169366.0091,595188.2399
0.087986464,0.358714044,0.553299492,154806.5809,592488.7634
0.257274119,0.488514548,0.254211332,256997.8512,793905.1674
0.230077121,0.474293059,0.29562982,185296.7895,683872.3039
0.218181818,0.460330579,0.321487603,187904.107,680776.8358
0.195718654,0.434250765,0.370030581,155903.7643,597779.2397
0.307073955,0.464630225,0.22829582,179498.0171,546059.5419
0.225260417,0.471354167,0.303385417,191644.5129,700842.1863
0.322654462,0.417620137,0.2597254,193039.266,696534.1003
0.178849145,0.513219285,0.307931571,161686.4619,601970.9709
0.163346614,0.485059761,0.351593625,192684.8312,681674.9815
0.178921569,0.474264706,0.346813725,195886.3933,731414.9684
0.094339623,0.547169811,0.358490566,196423.8502,741359.6561
0.268972142,0.477425552,0.253602305,166383.146,607432.6387
0.144486692,0.482889734,0.372623574,216324.9367,737178.913
0.24567474,0.46828143,0.286043829,218278.5186,737780.4635
0.169045005,0.501646542,0.329308452,246326.8885,768931.0672
0.270588235,0.450420168,0.278991597,209280.238,761738.2062
0.231168831,0.455844156,0.312987013,192878.125,724395.0559
0.225400458,0.457665904,0.316933638,196251.9015,739714.7114
0.227176221,0.421443737,0.351380042,183541.1684,647899.3917
0.273134328,0.437313433,0.289552239,239392.6093,729189.8014
0.153021442,0.444444444,0.402534113,245046.7681,709606.0632
0.310211946,0.404624277,0.285163776,245456.2488,708686.1747
0.106325707,0.31628533,0.577388964,187314.1248,635903.1951
0.165948276,0.450431034,0.38362069,234011.3212,717184.3529
0.363737486,0.44160178,0.194660734,256621.0961,764559.6227
0.302931596,0.390879479,0.306188925,203471.779,714487.2142
0.188262195,0.444359756,0.367378049,205662.8268,722543.3816
0.203866432,0.504393673,0.291739895,185700.7681,685724.1623
0.439814815,0.367283951,0.192901235,190615.1086,691174.589
0.202020202,0.460157127,0.337822671,191994.7008,659037.4292
0.201219512,0.406504065,0.392276423,191938.8145,662833.3619
0.293423272,0.451939292,0.254637437,191662.9989,660944.6127
0.343908629,0.426395939,0.229695431,230450.8099,718605.6661
0.253077975,0.488372093,0.258549932,251872.3862,781395.7363
0.196371398,0.458911419,0.344717182,210570.7041,770436.2042
0.527355623,0.31231003,0.160334347,206295.2895,633812.4525
0.291273585,0.456367925,0.252358491,242203.0224,727072.975
0.220946915,0.460545194,0.318507891,207000.9093,631260.6368
0.16748366,0.456699346,0.375816993,190969.557,634813.6904
0.247191011,0.446941323,0.305867665,220420.3955,767903.9805
0.332344214,0.385756677,0.28189911,195529.3187,635246.8642
0.265700483,0.519323671,0.214975845,211377.5365,632354.5901
0.215778252,0.494953802,0.289267946,183680.172,656296.0917
0.239044176,0.483907945,0.277047879,183172.234,641066.4667
0.139657283,0.507099143,0.353243574,210534.3263,634813.9596
0.140044248,0.53620944,0.323746313,216186.6566,762891.9453
0.142461964,0.525587828,0.331950207,232709.07,725195.7258
0.105422091,0.518386794,0.376191115,230532.1016,731813.4439
0.1418283,0.55749243,0.30067927,235733.5059,763305.0347
0.120365558,0.55500693,0.324627512,238961.93,754631.5461
0.088546299,0.53513193,0.376321771,234847.6576,745917.4556
0.111490866,0.531997643,0.356511491,226047.7246,759334.0996
0.146726513,0.561368209,0.291905278,217247.3271,760702.7561
0.203681352,0.530175015,0.266143633,242119.8848,769737.7139
0.129090052,0.51475719,0.356152758,235172.6575,733041.7111
0.110366046,0.520905648,0.368728305,224831.5775,760310.6796
0.129345794,0.53682243,0.333831776,234775.6209,751882.9747
0.163269953,0.544574747,0.2921553,205114.7589,733223.1475
0.125379018,0.553517283,0.321103699,232790.3898,769176.0027
0.094409283,0.529535865,0.376054852,242048.9893,723340.5173
0.11484863,0.514725063,0.370426306,235425.8812,742477.9299
0.128836251,0.529196704,0.341967044,226046.4249,732145.6787
