lon,lat,s
34.85006436,32.32530805,55.00
34.85278565,32.29443039,46.00
34.78130847,32.09178098,32.00
34.77934406,32.08593082,34.00
34.77706424,32.07962866,93.00
34.8603665,32.34201907,96.00
34.85868308,32.32939889,29.00
34.86268038,32.33118624,61.00
34.85904627,32.33164526,31.00
34.77014362,32.05139711,90.00
34.77084793,32.05472714,8.00
34.77529429,32.05493165,52.00
34.77080872,32.05630514,45.00
34.78410827,32.04709755,74.00
34.77338155,32.04959556,77.00
34.78063946,32.07377904,8.00
34.9406159,32.11492916,100.00
34.93924517,32.11993124,15.00
34.78386251,32.04990131,2.00
34.77028647,32.06150669,26.00
34.77266321,32.05600486,47.00
34.77202841,32.05813995,91.00
34.79399947,32.07272284,34.00
34.78083544,32.04734817,32.00
34.77209722,32.05476748,42.00
34.77048163,32.06054244,4.00
34.78434877,32.0593447,79.00
34.80497347,32.12098554,32.00
34.79167539,32.12322439,6.00
34.78906536,32.1028806,2.00
35.2247886,31.7839916,62.00
34.78849845,32.07835913,4.00
34.74621164,31.86865237,63.00
34.79981911,31.93663275,37.00
34.82118748,32.00131351,4.00
34.80917933,31.98082376,74.00
34.80647499,31.97249165,89.00
34.80292544,31.96402153,64.00
34.80141047,31.94758579,46.00
34.7708152,32.06839818,71.00
34.81076153,31.27123124,91.00
34.78360622,32.07350036,72.00
34.78342689,32.07565504,42.00
34.84528064,32.28341677,61.00
34.84524534,32.30044194,74.00
35.57111022,33.12588351,36.00
35.5719245,33.04601315,22.00
34.80137214,32.11341717,76.00
34.79263396,32.11270369,73.00
34.79769683,32.11310782,56.00
34.80154162,32.11825127,96.00
34.80231137,32.1215272,78.00
34.78035972,32.08848628,97.00
34.77750221,32.08110907,26.00
35.38284853,32.5548317,38.00
34.77348377,32.0932696,2.00
34.77430997,32.09554491,15.00
34.77450795,32.09624898,83.00
34.77608802,32.09590264,99.00
34.78060873,32.06207369,39.00
34.785034,32.06234092,21.00
34.78486736,32.06172715,53.00
34.79921563,32.06428984,56.00
34.80353009,32.06329356,15.00
34.79156328,32.05393059,31.00
34.80022738,32.05336334,63.00
34.79911204,32.04695704,46.00
34.81323581,32.04460264,38.00
34.80645025,32.05656637,26.00
34.77782756,32.08631349,75.00
34.77563634,32.08147251,8.00
34.77512548,32.07973032,75.00
34.80737818,32.16271855,6.00
34.81008777,32.16126614,88.00
34.77329546,32.09276396,89.00
34.77544717,32.0947552,25.00
34.77824552,32.09211339,94.00
34.88054813,32.02779358,82.00
34.84558705,32.07565698,91.00
34.84267103,32.07652342,88.00
34.79206759,32.08312322,57.00
34.86623905,32.32529834,75.00
34.85976505,32.33815791,77.00
34.86154852,32.32715232,9.00
34.8560265,32.33530711,88.00
34.8567173,32.3352008,58.00
34.8592882,32.33506358,23.00
34.80252878,32.08883812,32.00
34.81544206,32.08868004,45.00
34.82027682,32.09014668,88.00
34.80455552,32.08559809,96.00
34.80613552,32.08764112,4.00
34.79061749,32.0734964,6.00
35.09934668,33.00568251,77.00
35.09621041,33.00637411,54.00
35.09282813,33.00693016,40.00
34.85145847,32.33004618,65.00
34.8611395,32.32578053,7.00
34.86207017,32.32964258,34.00
35.09547188,32.98909752,5.00
34.88249729,32.31968684,65.00
34.85805028,32.26403745,75.00
34.9005799,32.30456406,2.00
34.84515133,32.28390336,7.00
34.84307773,32.28748645,46.00
34.85363779,32.28267377,81.00
34.85465465,32.28601312,11.00
34.90973657,32.43425793,83.00
34.91529776,32.43755317,42.00
34.9163297,32.4407387,16.00
34.92253464,32.43557673,96.00
34.91994874,32.43961073,18.00
34.91571629,32.43301836,76.00
34.92119704,32.43147981,91.00
34.84641124,32.2820493,91.00
34.94037207,32.09288885,79.00
34.94350493,32.09013585,16.00
34.90491519,32.07698347,65.00
34.90368491,32.07749458,94.00
34.95375778,32.02456868,30.00
34.92674691,32.01649537,30.00
34.94337842,32.0526569,90.00
35.22639479,31.78984429,17.00
34.94603816,32.17979683,66.00
35.19892135,31.78660843,88.00
35.19690435,31.79109048,70.00
35.19942802,31.78908852,63.00
35.20037828,31.78925088,89.00
34.64642016,31.78664815,91.00
34.64045861,31.78950771,70.00
34.64308214,31.78168247,25.00
34.66197433,31.80616768,61.00
34.66302366,31.80731746,31.00
34.63759056,31.78541874,71.00
34.60272346,31.65880434,49.00
34.60114768,31.65954543,61.00
34.57346829,31.66145873,56.00
34.86483175,32.25557023,92.00
34.70067301,31.81679689,58.00
34.85279556,32.16791193,6.00
34.84046811,32.16725483,54.00
34.83849961,32.16639246,2.00
34.84860933,32.16478908,40.00
34.84863188,32.16716985,75.00
34.85464185,32.30869239,30.00
34.98719647,32.78353491,71.00
34.98654281,32.78457072,98.00
34.99225641,32.78791681,66.00
35.01450243,32.78315551,59.00
34.80807103,31.91370765,31.00
35.09530178,32.98821373,92.00
35.09533751,33.00264045,33.00
34.99933675,32.81920837,56.00
35.00480568,32.8042401,50.00
34.99697164,32.81222537,65.00
34.99894278,32.80479867,9.00
34.9976379,32.81039604,88.00
34.99803174,32.81092869,37.00
34.99737595,32.81284821,32.00
34.99894957,32.81112857,15.00
35.00315655,32.80641054,10.00
35.00382063,32.80547384,28.00
35.00228202,32.8059673,27.00
34.99533395,32.80024816,75.00
34.95646478,32.82200716,28.00
34.98500691,32.81882339,91.00
34.98701898,32.80383175,37.00
34.98772113,32.80486992,87.00
35.02764083,32.78944154,36.00
35.0698227,32.84312673,70.00
35.09429703,32.85808264,100.00
35.10008149,33.00871272,46.00
34.92485414,32.43510397,53.00
34.92357784,32.43863597,10.00
34.91154537,32.43389244,35.00
34.89439468,32.4462233,15.00
34.90699907,32.45514488,86.00
35.02387055,31.91384599,96.00
34.67432294,31.78334045,45.00
34.85930345,32.2750334,7.00
35.00529475,32.27966754,50.00
34.83504073,32.13815665,45.00
34.8978022,31.98988855,38.00
34.90661808,31.98941356,31.00
34.8516663,32.27916943,89.00
34.85348138,32.29847222,88.00
34.86372573,32.05965511,74.00
34.93003759,32.51755235,41.00
34.83750806,32.00877459,8.00
34.86623773,32.03312193,14.00
35.19316107,31.74944304,12.00
34.92587608,32.43472751,6.00
34.86265545,32.32651507,18.00
34.95350879,32.00718138,34.00
34.91609308,31.98454764,40.00
34.93728919,31.98362009,50.00
34.89233036,31.94648912,49.00
34.89415456,31.94498757,64.00
34.88951717,31.94334387,11.00
34.81075455,31.94889567,20.00
34.80198863,31.95082511,67.00
34.82512986,31.9665247,49.00
34.80295574,31.96192041,83.00
34.81658244,31.96899688,59.00
34.79898348,31.97519139,93.00
34.73683025,31.9955657,13.00
34.74212962,31.99389876,53.00
34.64051883,31.77784741,86.00
34.77764369,32.06661779,83.00
35.07810306,32.92441314,50.00
34.92715833,32.43267436,92.00
34.90658301,32.43937242,54.00
34.98382005,32.82808166,64.00
34.98893087,32.82563797,50.00
34.9618478,32.2077653,18.00
34.96385334,32.20742646,52.00
34.95740608,32.17153216,60.00
35.00632013,31.90873355,12.00
35.00982956,31.89894518,61.00
35.02269822,31.91321304,89.00
34.80473824,32.07525513,65.00
34.86284088,32.06124891,9.00
34.86468179,32.05597835,61.00
34.79535775,32.0911508,20.00
34.79452686,32.08269835,71.00
34.79995382,31.96381369,76.00
34.80077027,31.96095757,23.00
34.79889455,31.95451268,36.00
34.79033259,31.95560328,53.00
34.80252441,31.95409136,11.00
34.79100937,31.9580043,40.00
34.77495271,31.98064941,5.00
34.84485341,32.09260858,4.00
34.77930619,31.97957289,20.00
34.79292348,32.06703806,43.00
34.8026953,31.96099975,29.00
34.78395682,31.96667454,43.00
34.81600959,32.00954023,95.00
34.82053407,32.00066224,78.00
34.80690434,31.97351203,14.00
34.7970736,31.974049,37.00
34.7994849,31.96701361,83.00
34.85295934,32.05331314,43.00
34.97901059,32.82949776,69.00
34.76166681,32.01525992,87.00
34.7623871,32.0151452,38.00
34.75932563,32.01568459,16.00
34.79833468,31.97116726,69.00
34.82800945,32.10053146,63.00
34.7719193,31.9822353,2.00
34.7634152,31.98611083,25.00
34.76724527,31.99285152,79.00
34.76516753,31.98919205,55.00
34.76726525,31.99533154,63.00
34.77060743,31.99120375,87.00
34.77186911,31.99067599,54.00
34.77587668,31.98900323,86.00
34.77373424,31.98555109,47.00
34.76813668,31.99231351,81.00
34.76844273,31.98801297,12.00
34.76469521,31.98838781,89.00
34.83109339,32.03773069,25.00
34.79169357,31.97766589,83.00
34.79067798,31.97764454,40.00
34.78330936,31.97641189,40.00
34.76852652,31.98372068,78.00
34.76277433,31.97632405,13.00
34.75511861,31.97983224,20.00
34.82858806,32.09893701,45.00
34.81406816,31.99314852,18.00
34.83913925,32.11234141,49.00
34.83025042,32.10694981,65.00
34.80010465,32.08125537,56.00
34.80017287,32.08500704,32.00
34.79987542,32.07077583,33.00
34.79977709,31.96551755,54.00
34.80275895,31.9658156,39.00
35.18313311,31.75633186,84.00
35.22609389,31.76719906,69.00
35.22082008,31.73108989,18.00
35.2360895,31.79531643,57.00
34.76320911,32.06884987,2.00
34.76784964,32.07290597,66.00
34.80216455,31.95899605,30.00
34.80453461,31.91245206,48.00
34.86236297,31.91623722,32.00
34.8638074,31.91734132,76.00
34.8145117,32.16050432,24.00
34.96096031,32.10681773,76.00
34.96888971,32.10098009,54.00
34.9401085,32.11451328,35.00
34.94115246,32.11626493,45.00
34.94072307,32.11819387,15.00
34.93804964,32.06819282,64.00
34.9334327,32.0680207,37.00
34.9363961,31.9559867,99.00
34.93439632,31.9561989,84.00
34.8090043,32.16667343,60.00
34.77177236,32.06304482,4.00
34.77228685,32.06172996,20.00
34.77014569,32.06216452,8.00
34.93944755,31.95420752,4.00
34.88792559,31.90163992,33.00
35.17767482,31.87082817,81.00
34.80446894,31.96912161,10.00
34.80270217,31.9667082,29.00
34.80367905,31.96830749,62.00
34.79925589,31.96857301,9.00
34.80005258,31.96300238,45.00
34.89997963,31.81080136,15.00
34.74465754,32.03016018,10.00
34.74384189,32.03026544,48.00
34.74307694,32.02659235,50.00
34.75166752,32.03404509,4.00
34.74979535,32.02943022,90.00
34.74992489,32.03749272,93.00
34.75540636,32.03800824,12.00
34.75955087,32.03696775,53.00
34.75923825,32.03593861,37.00
34.76126853,32.03862405,6.00
34.75865415,32.03631531,100.00
34.75486224,32.03669871,79.00
34.7659385,32.03616938,7.00
34.88664681,31.89846232,89.00
34.74797621,32.03550177,96.00
34.77880305,32.03808895,69.00
34.77740242,32.03648807,76.00
34.75878048,32.04957212,39.00
34.75992294,32.04979256,90.00
34.76511921,32.05476152,23.00
34.76250154,32.04421046,76.00
34.7661177,32.04299658,61.00
34.76932064,32.03511691,36.00
34.81034202,31.98356886,71.00
34.81450383,31.98271599,87.00
34.82300358,31.97163158,67.00
34.81127332,31.97607775,8.00
34.8270071,31.96793712,62.00
34.84038552,31.97427983,6.00
34.82238226,31.96327897,91.00
34.80781078,31.97676137,87.00
34.81249155,31.98317873,8.00
34.81018313,31.97124069,100.00
34.81088843,31.96214365,30.00
34.83949326,32.09260227,34.00
34.84100904,32.08165888,46.00
34.83963652,32.08587532,96.00
34.74895049,31.87256708,3.00
34.75032735,31.87194976,41.00
34.75173587,31.86917718,44.00
34.80837197,31.86070875,66.00
34.9959198,32.77795922,58.00
34.74303373,32.02254313,98.00
34.74550755,32.01891787,15.00
34.74179961,32.01114895,89.00
34.7388456,32.01137261,55.00
34.74293496,32.01479635,85.00
34.74114109,32.00740409,90.00
34.74774153,32.00385691,14.00
34.75530714,32.00193603,34.00
34.7590458,32.00132698,38.00
34.74258745,32.01444338,99.00
34.84233153,32.15716926,62.00
34.84238777,32.15367051,13.00
34.86603568,31.93826938,22.00
34.82117217,31.96173323,100.00
34.81726475,31.96270435,11.00
34.74521478,32.02668127,73.00
34.74546889,32.02242572,32.00
34.74519964,32.02547281,22.00
34.74312909,32.02463564,96.00
34.75290393,32.01507572,76.00
34.80576988,31.91039981,10.00
34.78723781,31.98502807,37.00
34.78499801,31.97964594,49.00
34.77266162,31.98187711,68.00
35.27385789,33.01603163,77.00
35.27671439,33.01476767,27.00
35.29525139,33.00506267,14.00
35.36756512,32.93309895,97.00
35.30307404,32.70570527,78.00
35.29489692,32.6981551,14.00
35.29766871,32.69726939,88.00
35.29832747,32.69496052,27.00
35.29120569,32.67464103,33.00
35.05463188,32.81867363,38.00
35.06720096,32.81151958,44.00
35.07446719,32.8151792,53.00
34.99179768,32.81469634,41.00
34.99635747,32.8191764,66.00
34.99270532,32.82369676,1.00
35.00356433,32.81498629,6.00
34.81650987,31.95606473,73.00
34.81457251,31.95395758,88.00
34.80758406,31.95077058,90.00
34.80763202,31.96175476,77.00
34.95465905,32.10192675,85.00
34.94452825,32.09535934,37.00
34.7905073,31.89774363,48.00
34.79567699,31.89522626,96.00
