ped,year,x,y
0.191011236,2011,227276.1034,757321.7084
0.26,2011,176773.2174,588617.2577
0,2011,192079.4112,711223.4433
0.066666667,2011,200207.991,645701.6199
1,2011,184634.6097,567181.8731
0,2011,203677.2981,696698.8723
0.1,2011,213374.6999,759652.9886
0,2011,228628.6452,763251.881
0.4,2011,194983.8805,656155.4612
0.519230769,2011,196084.9638,661964.4267
0,2011,209002.2049,708738.6726
0.1,2011,251316.8213,765400.7463
0.375,2011,197358.8695,741270.2953
0.257142857,2011,202602.1187,553029.9717
0.142857143,2011,212129.6086,735221.4453
0.295454545,2011,186588.3236,659471.3286
0.063291139,2011,204344.9586,741703.4878
0.5,2011,184930.6173,649631.406
0.115384615,2011,179217.7094,635457.1174
0.285714286,2011,220151.0134,573794.5091
0.305343511,2011,193982.2397,384601.1613
0.197916667,2011,199782.6636,624450.9704
0.172839506,2011,186798.4471,662934.9997
0.171428571,2011,177362.0581,613281.6054
0.113636364,2011,196550.4375,666814.9584
0.347222222,2011,184507.9311,671981.2669
0.118421053,2011,175078.9669,643145.1924
0.254901961,2011,214214.9183,714102.0366
0.040816327,2011,196099.0598,682303.3879
0.027777778,2011,200706.3096,685368.4038
0.016129032,2011,253643.3399,790131.3797
0.184342032,2011,220183.7413,632033.9331
0.193548387,2011,216862.7944,668104.2558
0.291666667,2011,229773.99,632377.0976
0,2011,209242.4882,675419.0131
0.166666667,2011,215340.4011,641077.3407
0.066666667,2011,201590.9217,675174.4031
0.909090909,2011,210802.9693,622871.3749
0.583333333,2011,204437.4911,648815.6846
0.164251208,2011,198947.2387,744928.038
0,2011,265389.4708,766057.7314
0,2011,272000.9949,796891.5243
0.179865772,2011,180489.6796,665757.436
0.096774194,2011,204103.4231,702912.7022
0.457364341,2011,184664.9222,666370.5283
0.262390671,2011,176423.4831,657968.8081
0.2,2011,182247.9274,664184.7933
0.212121212,2011,184092.1638,675213.4927
0.150159744,2011,191964.8863,705012.6646
0.195694716,2011,179547.8525,657938.5887
0.107438017,2011,249488.8046,743591.7782
0.163636364,2011,210144.2812,745681.4784
0.12,2011,192723.2892,676090.6946
0.259036145,2011,189790.68,650979.2926
0.100401606,2011,159183.2739,618811.6413
0.16,2011,180734.4016,647841.026
0.110638298,2011,227728.0189,734143.2878
0.154425612,2011,186926.721,690287.2458
0.096153846,2011,228479.8393,752272.2282
0.293650794,2011,208329.246,758645.1294
0.178571429,2011,227459.6876,724073.5691
0.135416667,2011,197819.0115,708950.571
0.149408284,2011,189330.9033,666948.3729
0.238095238,2011,247792.468,764037.3763
0.423728814,2011,208058.4158,749680.3738
0.159122085,2011,180285.3817,652959.1938
0.147505423,2011,182861.8575,644475.9211
0.320512821,2011,188065.9515,648252.092
0.269754768,2011,183799.2091,663693.3378
0.125786164,2011,187849.7638,677143.1302
0.080645161,2011,216417.3184,745668.617
0.104166667,2011,218174.2477,751017.3587
0.09919571,2011,179975.3102,573353.3219
0.132450331,2011,209576.4694,768554.9245
